LIST AKL PRODUCT ;;;;AKL EXPIRED;;;;
;;;;;;;;
Kode;Nama product;Kelompok;AKL NO;Expired AKL;Lampiran;Category;Vendor;Keterangan
VAR.320P.20;Knee Immobilizer - Pediatric Nr. 20;;AKL 11402815539;18/06/24;;Unit;VAR;
VAR.320P.25;Knee Immobilizer - Pediatric Nr. 25;;AKL 11402815539;18/06/24;;Unit;VAR;
VAR.320P.30;Knee Immobilizer - Pediatric Nr. 30;;AKL 11402815539;18/06/24;;Unit;VAR;
VAR.320P.35;Knee Immobilizer - Pediatric Nr. 35;;AKL 11402815539;18/06/24;;Unit;VAR;
VAR.323;Practical  Arm Sling ;;AKL 11402211413;18/06/24;;Unit;VAR;
VAR.331.L;Baseball Splint Nr.L;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.331.M;Baseball Splint Nr. M;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.331.S;Baseball Splint Nr. S;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.332.L;Curved Finger Splint Nr. L;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.332.M;Curved Finger Splint Nr. M;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.332.S;Curved Finger Splint Nr. S;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.333.L;Finger Protector Nr. L;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.333.M;Finger Protector Nr. M;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.333.S;Finger Protector Nr. S;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.334.L;Finger Cot Nr. L;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.334.M;Finger Cot Nr. M;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.334.S;Finger Cot Nr. S;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.335.L;Frog Splint Nr. L;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.335.M;Frog Splint Nr. M;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.335.S;Frog Splint Nr. S;;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.336BL.L;RingSplint Finger Splint Nr. L (Blue);;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.336BL.M;RingSplint Finger Splint Nr. M (Blue);;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.336BL.S;RingSplint Finger Splint Nr. S (Blue);;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.336BL.XL;RingSplint Finger Splint Nr. XL (Blue);;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.336GR.L;Ring Splint Finger Splint Nr.L (Grey);;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.336GR.M;Ring Splint Finger Splint Nr.M (Grey);;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.336GR.S;Ring Splint Finger Splint Nr.S (Grey);;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.336GR.XL;Ring Splint Finger Splint Nr.XL (Grey);;AKL 11402814971;18/06/24;;Unit;VAR;
VAR.350;Hand Rehabilitation Kit;;-;;;Unit;VAR;
VAR.355;Hand Rehabilitation Device;;-;;;Unit;VAR;
VAR.400;Silver Tubular Bandage;;AKL 10902911187;18/06/24;;Unit;VAR;
VAR.406;Elastic Bandage (6cmx2m);;AKL 10902911187;18/06/24;;Unit;VAR;
VAR.408;Elastic Bandage (8cmx2m);;AKL 10902911187;18/06/24;;Unit;VAR;
VAR.410;Elastic Bandage (10cmx2m);;AKL 10902911187;18/06/24;;Unit;VAR;
VAR.412;Elastic Bandage (12cmx2m);;AKL 10902911187;18/06/24;;Unit;VAR;
VAR.415;Elastic Bandage (15cmx2m);;AKL 10902911187;18/06/24;;Unit;VAR;
VAR.453.L;Knitted Flexible Knee Support Nr. L;;AKL 11402211076;18/06/24;;Unit;VAR;
VAR.453.M;Knitted Flexible Knee Support Nr. M;;AKL 11402211076;18/06/24;;Unit;VAR;
VAR.453.S;Knitted Flexible Knee Support Nr. S;;AKL 11402211076;18/06/24;;Unit;VAR;
VAR.453.XL;Knitted Flexible Knee Support Nr. XL;;AKL 11402211076;18/06/24;;Unit;VAR;
VAR.453.XXL;Knitted Flexible Knee Support Nr. XXL;;AKL 11402211076;18/06/24;;Unit;VAR;
VAR.454.L;Knitted Hinged Knee Brace Nr. L;;AKL 11402815539;18/06/24;;Unit;VAR;
VAR.454.M;Knitted Hinged Knee Brace Nr. M;;AKL 11402815539;18/06/24;;Unit;VAR;
VAR.454.S;Knitted Hinged Knee Brace Nr. S;;AKL 11402815539;18/06/24;;Unit;VAR;
VAR.454.XL;Knitted Hinged Knee Brace Nr. XL;;AKL 11402815539;18/06/24;;Unit;VAR;
VAR.454.XXL;Knitted Hinged Knee Brace Nr. XXL;;AKL 11402815539;18/06/24;;Unit;VAR;
VAR.455.L;Knitted Achille Tendon Support Nr. L;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.455.M;Knitted Achille Tendon Support Nr. M;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.455.S;Knitted Achille Tendon Support Nr. S;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.455.XL;Knitted Achille Tendon Support Nr. XL;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.456.L;Knitted Malleol Ankle Support Nr. L;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.456.M;Knitted Malleol Ankle Support Nr. M;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.456.S;Knitted Malleol Ankle Support Nr. S;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.456.XL;Knitted Malleol Ankle Support Nr. XL;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.457.L;Knitted Ankle Support Nr. L;;-;;;Unit;VAR;
VAR.457.M;Knitted Ankle Support Nr. M;;-;;;Unit;VAR;
VAR.457.S;Knitted Ankle Support Nr. S;;-;;;Unit;VAR;
VAR.457.XL;Knitted Ankle Support Nr. XL;;-;;;Unit;VAR;
VAR.458.L;Knitted Elbow Support ( With Silicone ) Nr. L;;AKL 11402211414;18/06/24;;Unit;VAR;
VAR.458.M;Knitted Elbow Support ( With Silicone ) Nr. M;;AKL 11402211414;18/06/24;;Unit;VAR;
VAR.458.S;Knitted Elbow Support ( With Silicone ) Nr. S;;AKL 11402211414;18/06/24;;Unit;VAR;
VAR.458.XL;Knitted Elbow Support ( With Silicone ) Nr. XL;;AKL 11402211414;18/06/24;;Unit;VAR;
VAR.459.L;Knitted Elbow Support Nr. L;;-;;;Unit;VAR;
VAR.460.L;Knitted Shoulder Support Nr. L;;AKL 11402910779;18/06/24;;Unit;VAR;
VAR.460.M;Knitted Shoulder Support Nr. M;;AKL 11402910779;18/06/24;;Unit;VAR;
VAR.460.S;Knitted Shoulder Support Nr. S;;AKL 11402910779;18/06/24;;Unit;VAR;
VAR.460.XL;Knitted Shoulder Support Nr. XL;;AKL 11402910779;18/06/24;;Unit;VAR;
VAR.501.22;Metal Foot Support Nr. 22;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.23;Metal Foot Support Nr. 23;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.24;Metal Foot Support Nr. 24;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.25;Metal Foot Support Nr. 25;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.26;Metal Foot Support Nr. 26;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.27;Metal Foot Support Nr. 27;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.28;Metal Foot Support Nr. 28;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.29;Metal Foot Support Nr. 29;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.30;Metal Foot Support Nr. 30;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.31;Metal Foot Support Nr. 31;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.32;Metal Foot Support Nr. 32;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.33;Metal Foot Support Nr. 33;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.34;Metal Foot Support Nr. 34;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.35;Metal Foot Support Nr.35;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.36;Metal Foot Support Nr. 36;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.37;Metal Foot Support Nr. 37;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.38;Metal Foot Support Nr.38;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.39;Metal Foot Support Nr.39;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.40;Metal Foot Support Nr.40;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.41;Metal Foot Support Nr.41;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.42;Metal Foot Support Nr. 42;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.501.43;Metal Foot Support Nr. 43;;FR.03.02/VA/16974/2021;28/12/23;;Unit;VAR;
VAR.510;Hallux Valgus Night Support;;AKL 11402819062;18/06/24;;Unit;VAR;
VAR.511;Hallux Valgus Splint;;AKL 11402819062;18/06/24;;Unit;VAR;
VAR.542.L;Silicone Full Length Insole Nr. L;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.542.M;Silicone Full Length Insole Nr. M;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.542.S;Silicone Full Length Insole Nr. S;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.542.XL;Silicone Full Length Insole Nr. XL;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.542.XS;Silicone Full Length Insole Nr. XS ;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.542.XXL;Silicone Full Length Insole Nr. XXL;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.543.L;Silicone 3/4 Length Insole Nr. L;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.543.M;Silicone 3/4 Length Insole Nr. M;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.543.S;Silicone 3/4 Length Insole Nr. S;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.543.XL;Silicone 3/4 Length Insole Nr. XL;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.543.XXL;Silicone 3/4 Length Insole Nr. XXL;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.544.L;Silicone Heel Spur Nr. L;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.544.M;Silicone Heel Spur Nr. M;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.544.S;Silicone Heel Spur Nr. S;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.544.XL;Silicone Heel Spur Nr. XL;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.545.L;Silicone Toe Spreaders Nr. L;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.545.M;Silicone Toe Spreaders Nr. M;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.545.S;Silicone Toe Spreaders Nr. S;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.546.L;Silicone Toe Separator Nr. L;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.546.S;Silicone Toe Separator Nr. S;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.547.L;Silicone Ring Nr. L;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.547.M;Silicone Ring Nr.M;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.547.S;Silicone Ring Nr. S;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.548.B;Silicone Toe Cap Nr. Big;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.548.S;Silicone Toe Cap Nr. Small;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.549;Silicone Forefoot Insole;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.550;Silicone Bunion Shield;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.551;Silicone Metatarsal Pad with Ring;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.552;Silicone Metatarsal Pad with Separator 552;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.553L;Silicone Toe Crest With Loop ( Left);;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.553R;Silicone Toe Crest With Loop ( Right );;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.554;Silicone Metatarsal pad with separator 554;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.560.B;Silicone Hand Rehabilitation Ball ( Blue );;FR.03.02/VA/00133/2022;17/01/24;;Unit;VAR;
VAR.560.G;Silicone Hand Rehabilitation Ball ( Green );;FR.03.02/VA/00133/2022;17/01/24;;Unit;VAR;
VAR.560.R;Silicone Hand Rehabilitation Ball (Red );;FR.03.02/VA/00133/2022;17/01/24;;Unit;VAR;
VAR.570.65;Silicone Breast Prosthesis (pear-symmetrical) Nr.65;;FR.03.02/VA/8288/2020;;;Unit;VAR;
VAR.570.70;Silicone Breast Prosthesis (pear-symmetrical) Nr.70;;FR.03.02/VA/8288/2020;;;Unit;VAR;
VAR.570.75;Silicone Breast Prosthesis (pear-symmetrical) Nr.75;;FR.03.02/VA/8288/2020;;;Unit;VAR;
VAR.570.80;Silicone Breast Prosthesis (pear-symmetrical) Nr.80 ;;FR.03.02/VA/8288/2020;;;Unit;VAR;
VAR.570.85;Silicone Breast Prosthesis (pear-symmetrical) Nr.85;;FR.03.02/VA/8288/2020;;;Unit;VAR;
VAR.570.90;Silicone Breast Prosthesis (pear-symmetrical) Nr.90;;FR.03.02/VA/8288/2020;;;Unit;VAR;
VAR.577.65;Bra For Breast Prosthesis Nr.65;;-;;;Unit;VAR;
VAR.577.70;Bra For Breast Prosthesis Nr.70;;-;;;Unit;VAR;
VAR.577.75;Bra For Breast Prosthesis Nr. 75;;-;;;Unit;VAR;
VAR.577.80;Bra For Breast Prosthesis Nr.80;;-;;;Unit;VAR;
VAR.577.85;Bra For Breast Prosthesis Nr.85;;-;;;Unit;VAR;
VAR.577.90;Bra For Breast Prosthesis Nr.90;;-;;;Unit;VAR;
VAR.582.L;Adhesive Silicone Medial & Lateral Wedge Nr. L;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.582.M;Adhesive Silicone Medial & Lateral Wedge Nr. M;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.582.S;Adhesive Silicone Medial & Lateral Wedge Nr. S;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.582.XL;Adhesive Silicone Medial & Lateral Wedge Nr. XL ;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.584.L;Adhesive Silicone Heel Spur Nr. L;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.584.M;Adhesive Silicone Heel Spur Nr. M;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.584.S;Adhesive Silicone Heel Spur Nr. S;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.584.XL;Adhesive Silicone Heel Spur Nr. XL;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.589.M;Adhesive Silicone Metatarsal pad Nr. M;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.589.S;Adhesive Silicone Metatarsal pad Nr. S;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.590.M;Adhesive Silicone Longitudinal Arch Support Nr. M;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.590.S;Adhesive Silicone Longitudinal Arch Support Nr. S;;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.591;Silicone Insole VIOLET (pairs);;FR.03.02/VA/1804/2020;28/02/22;;Unit;VAR;
VAR.593.M;Silicone 3/4 Length Insole Violet (Pairs) Size. M;;-;;;Unit;VAR;
VAR.601L.L;Elastic Truss (One Side) LEFT Nr. L;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.601L.M;Elastic Truss (One SIde) LEFT Nr. M;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.601L.S;Elastic Truss (One Side) LEFT Nr. S;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.601R.L;Elastic Truss (One SIde) RIGHT Nr. L;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.601R.M;Elastic Truss (One Side) RIGHT Nr. M;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.601R.S;Elastic Truss (One Side) RIGHT Nr. S;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.602.L;Elastic Truss (Double Side) Nr. L;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.602.M;Elastic Truss (Double Side) Nr. M;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.602.S;Elastic Truss (Double Side) Nr. S;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.603L;Elastic Truss For Child LEFT;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.603R;Elastic Truss For Child RIGHT;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.604;Child Umbilicus;;AKL 11402910475;18/06/24;;Unit;VAR;
VAR.651-L;Visco Orthopedic Neck Pillow – Large;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.651-M;Visco Orthopedic Neck Pillow – Medium;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.651-S;Visco Orthopedic Neck Pillow – Small;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.652;Visco Orthopedic Neck Pillow – Classic;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.652-K;Visco Orthopedic Neck Pillow – Classic – Kid Size;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.653;Visco Orthopedic Neck Pillow – Anatomic;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.654;Visco Semi-Cylinder Pillow;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.655;Visco Cylinder Pillow;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.656;Visco Travel Pillow 656;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.657;Visco Back Cushion (with belt);;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.658;Visco Anatomic Back Cushion (with belt);;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.659;Visco Seating Donut Cushion (“D” FORM);;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.660;Visco Seating Donut Cushion (“U” FORM);;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.661;Visco Anatomic Seating Cushion;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.674;Semi-Cylinder Pillow;;-;;;Unit;VAR;
VAR.675;Cylinder Pillow;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.676;Polyurethane Travel Pillow;;-;;;Unit;VAR;
VAR.677;Back Cushion (with belt);;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.678;Anatomic Back Cushion (with belt);;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.679;Seating Donut Cushion (“D” FORM);;-;;;Unit;VAR;
VAR.680;Seating Donut Cushion (“U” FORM);;-;;;Unit;VAR;
VAR.681;Anatomic Seating Cushion ;;-;;;Unit;VAR;Tidak ada AKL / SUKET
VAR.701.10;Suspensory Nr. 10;;AKL 10805020572;09/08/21;;Unit;VAR;
VAR.701.5;Suspensory Nr. 5;;AKL 10805020572;09/08/21;;Unit;VAR;
VAR.701.6;Suspensory Nr. 6;;AKL 10805020572;09/08/21;;Unit;VAR;
VAR.701.7;Suspensory Nr. 7;;AKL 10805020572;09/08/21;;Unit;VAR;
VAR.701.8;Suspensory Nr. 8;;AKL 10805020572;09/08/21;;Unit;VAR;
VAR.701.9;Suspensory Nr. 9;;AKL 10805020572;09/08/21;;Unit;VAR;
VAR.721.L;Softsport Elbow Support Nr. L;;AKL 11402211414;18/06/24;;Unit;VAR;
VAR.721.M;Softsport Elbow Support Nr. M;;AKL 11402211414;18/06/24;;Unit;VAR;
VAR.721.S;Softsport Elbow Support Nr. S;;AKL 11402211414;18/06/24;;Unit;VAR;
VAR.721.XL;Softsport Elbow Support Nr. XL;;AKL 11402211414;18/06/24;;Unit;VAR;
VAR.722.L;Softsport Wrist & Thumb Support Nr. L;;AKL 11402211412;18/06/24;;Unit;VAR;
VAR.722.M;Softsport Wrist & Thumb Support Nr. M;;AKL 11402211412;18/06/24;;Unit;VAR;
VAR.722.S;Softsport Wrist & Thumb Support Nr. S;;AKL 11402211412;18/06/24;;Unit;VAR;
VAR.723.L;SOFTSPORT Calf Support Nr. L;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.723.M;SOFTSPORT Calf Support Nr. M;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.723.S;SOFTSPORT Calf Support Nr. S;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.723.XL;SOFTSPORT Calf Support Nr. XL;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.724.L;Softsport Ankle Support Nr. L;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.724.M;Softsport Ankle Support Nr. M;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.724.S;Softsport Ankle Support Nr. S;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.724.XL;Softsport Ankle Support Nr. XL;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.725.L;Softsport Knee Support Nr. L;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.725.M;Softsport Knee Support Nr. M;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.725.S;Softsport Knee Support Nr. S;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.725.XL;Softsport Knee Support Nr. XL;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.760;Epicondylitis Bandage - THERMOTECH;;AKL 11402211415;18/06/24;;Unit;VAR;
VAR.801.1;Elastic Ankle Brace Nr. 1;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.801.2;Elastic Ankle Brace Nr. 2;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.801.3;Elastic Ankle Brace Nr. 3;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.801.4;Elastic Ankle Brace Nr. 4;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.801.5;Elastic Ankle Brace Nr. 5;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.801.6;Elastic Ankle Brace Nr. 6;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.801.7;Elastic Ankle Brace Nr. 7;;AKL 11402211416;18/06/24;;Unit;VAR;
VAR.802.1;Elastic Tendon Brace Nr. 1;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.802.2;Elastic Tendon Brace Nr. 2;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.802.3;Elastic Tendon Brace Nr. 3;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.802.4;Elastic Tendon Brace Nr. 4;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.802.5;Elastic Tendon Brace Nr. 5;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.802.6;Elastic Tendon Brace Nr. 6;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.802.7;Elastic Tendon Brace Nr. 7;;AKL 11402211074;18/06/24;;Unit;VAR;
VAR.803.1;Elastic Knee Brace Nr. 1;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.803.2;Elastic Knee Brace Nr. 2;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.803.3;Elastic Knee Brace Nr. 3;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.803.4;Elastic Knee Brace Nr. 4;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.803.5;Elastic Knee Brace Nr. 5;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.803.6;Elastic Knee Brace Nr. 6;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.803.7;Elastic Knee Brace Nr. 7;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.804.L;Knee Brace Nr. L;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.804.M;Knee Brace Nr. M;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.804.S;Knee Brace Nr. S;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.804.XL;Knee Brace Nr. XL;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.804.XXL;Knee Brace Nr. XXL;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.805.L;Angora Knee Brace Nr. L;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.805.M;Angora Knee Brace Nr. M;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.805.S;Angora Knee Brace Nr. S;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.805.XL;Angora Knee Brace Nr. XL;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.805.XXL;Angora Knee Brace Nr. XXL;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.806.L;Knee Brace - Long ( L);;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.814L;Ankle Stabilizer (Air Pad) LEFT;;AKL 11402911093;18/06/24;;Unit;VAR;
VAR.814R;Ankle Stabilizer (Air Pad) RIGHT;;AKL 11402911093;18/06/24;;Unit;VAR;
VAR.814U;Ankle Stabilizer (Air Pad) UNIVERSAL Size;;AKL 11402911093;18/06/24;;Unit;VAR;
VAR.815L;Ankle Stabilizer (Sponge Pad) LEFT;;AKL 11402911093;18/06/24;;Unit;VAR;
VAR.815R;Ankle Stabilizer (Sponge Pad) RIGHT;;AKL 11402911093;18/06/24;;Unit;VAR;
VAR.815U;Ankle Stabilizer (Sponge Pad) Universal Size;;AKL 11402911093;18/06/24;;Unit;VAR;
VAR.816L;Ankle Stabilizer (Gel Pad) LEFT;;AKL 11402911093;18/06/24;;Unit;VAR;
VAR.816R;Ankle Stabilizer (Gel Pad) RIGHT;;AKL 11402911093;18/06/24;;Unit;VAR;
VAR.816U;Ankle Stabilizer (Gel Pad) UNIVERSAL Size;;AKL 11402911093;18/06/24;;Unit;VAR;
VAR.820.L;Closed Knee Support Nr. L;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.820.M;Closed Knee Support Nr. M;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.820.S;Closed Knee Support Nr. S;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.820.XL;Closed Knee Support Nr. XL;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.820.XXL;Closed Knee Support Nr. XXL;;AKL 11402211077;18/06/24;;Unit;VAR;
VAR.821.L;Neoprene Lumbostad Corset (With Belt) Nr. L;;AKL 11402113553;18/06/24;;Unit;VAR;
VAR.821.M;Neoprene Lumbostad Corset (With Belt) Nr. M;;AKL 11402113553;18/06/24;;Unit;VAR;
VAR.821.S;Neoprene Lumbostad Corset (With Belt) Nr. S;;AKL 11402113553;18/06/24;;Unit;VAR;
